matchId,teamId,queueId,patch,gameDuration,role,championId,win,ally1,ally2,ally3,ally4,enemy1,enemy2,enemy3,enemy4,enemy5
EUW1_7598968245,100,420,15.22,1930,BOTTOM,Zeri,1,Garen,DrMundo,Azir,Morgana,MonkeyKing,Nocturne,Katarina,Sivir,Rakan
EUW1_7598968245,100,420,15.22,1930,UTILITY,Morgana,1,Garen,DrMundo,Azir,Zeri,MonkeyKing,Nocturne,Katarina,Sivir,Rakan
EUW1_7598968245,200,420,15.22,1930,TOP,MonkeyKing,0,Nocturne,Katarina,Sivir,Rakan,Garen,DrMundo,Azir,Zeri,Morgana
EUW1_7598968245,200,420,15.22,1930,JUNGLE,Nocturne,0,MonkeyKing,Katarina,Sivir,Rakan,Garen,DrMundo,Azir,Zeri,Morgana
EUW1_7598968245,200,420,15.22,1930,MIDDLE,Katarina,0,MonkeyKing,Nocturne,Sivir,Rakan,Garen,DrMundo,Azir,Zeri,Morgana
EUW1_7598968245,200,420,15.22,1930,BOTTOM,Sivir,0,MonkeyKing,Nocturne,Katarina,Rakan,Garen,DrMundo,Azir,Zeri,Morgana
EUW1_7598968245,200,420,15.22,1930,UTILITY,Rakan,0,MonkeyKing,Nocturne,Katarina,Sivir,Garen,DrMundo,Azir,Zeri,Morgana
EUW1_7598925634,100,420,15.22,1739,TOP,Sett,1,JarvanIV,Ekko,Varus,Milio,Kayle,Graves,Lissandra,Kaisa,Rakan
EUW1_7598925634,100,420,15.22,1739,JUNGLE,JarvanIV,1,Sett,Ekko,Varus,Milio,Kayle,Graves,Lissandra,Kaisa,Rakan
EUW1_7598925634,100,420,15.22,1739,MIDDLE,Ekko,1,Sett,JarvanIV,Varus,Milio,Kayle,Graves,Lissandra,Kaisa,Rakan
EUW1_7598925634,100,420,15.22,1739,BOTTOM,Varus,1,Sett,JarvanIV,Ekko,Milio,Kayle,Graves,Lissandra,Kaisa,Rakan
EUW1_7598925634,100,420,15.22,1739,UTILITY,Milio,1,Sett,JarvanIV,Ekko,Varus,Kayle,Graves,Lissandra,Kaisa,Rakan
EUW1_7598925634,200,420,15.22,1739,TOP,Kayle,0,Graves,Lissandra,Kaisa,Rakan,Sett,JarvanIV,Ekko,Varus,Milio
EUW1_7598925634,200,420,15.22,1739,JUNGLE,Graves,0,Kayle,Lissandra,Kaisa,Rakan,Sett,JarvanIV,Ekko,Varus,Milio
EUW1_7598925634,200,420,15.22,1739,MIDDLE,Lissandra,0,Kayle,Graves,Kaisa,Rakan,Sett,JarvanIV,Ekko,Varus,Milio
EUW1_7598925634,200,420,15.22,1739,BOTTOM,Kaisa,0,Kayle,Graves,Lissandra,Rakan,Sett,JarvanIV,Ekko,Varus,Milio
EUW1_7598925634,200,420,15.22,1739,UTILITY,Rakan,0,Kayle,Graves,Lissandra,Kaisa,Sett,JarvanIV,Ekko,Varus,Milio
EUW1_7598631699,100,420,15.22,1694,TOP,Garen,0,Diana,Ryze,Kaisa,Renata,Kayle,LeeSin,Hwei,Draven,Thresh
EUW1_7598631699,100,420,15.22,1694,JUNGLE,Diana,0,Garen,Ryze,Kaisa,Renata,Kayle,LeeSin,Hwei,Draven,Thresh
EUW1_7598631699,100,420,15.22,1694,MIDDLE,Ryze,0,Garen,Diana,Kaisa,Renata,Kayle,LeeSin,Hwei,Draven,Thresh
EUW1_7598631699,100,420,15.22,1694,BOTTOM,Kaisa,0,Garen,Diana,Ryze,Renata,Kayle,LeeSin,Hwei,Draven,Thresh
EUW1_7598631699,100,420,15.22,1694,UTILITY,Renata,0,Garen,Diana,Ryze,Kaisa,Kayle,LeeSin,Hwei,Draven,Thresh
EUW1_7598631699,200,420,15.22,1694,TOP,Kayle,1,LeeSin,Hwei,Draven,Thresh,Garen,Diana,Ryze,Kaisa,Renata
